FB,Microsoft,Tesla
181.759995,135.559998,43.118
185.570007,138.119995,44.341999
185.669998,137.860001,45.122002
182.389999,136.039993,45.001999
187.139999,137.630005,44.136002
190.899994,140.050003,45.916
187.490005,139.100006,45.490002
188.759995,137.520004,46.358002
186.169998,136.080002,47.108002
188.490005,136.119995,49.419998
187.470001,137.520004,49.174
187.190002,137.320007,49.040001
186.220001,136.330002,48.562
188.080002,137.389999,48.958
188.139999,138.520004,48.698002
190.139999,141.070007,49.32
189.929993,139.440002,48.124001
186.820007,139.139999,48.245998
181.279999,137.380005,44.641998
182.800003,139.360001,45.740002
180.110001,139.539993,48.512001
177.100006,137.729996,48.425999
178.080002,139.029999,48.174
175.809998,137.070007,48.938
174.600006,134.649994,48.625999
179.380005,136.279999,46.605999
180.449997,138.119995,46.285999
179.679993,137.119995,47.543999
177.75,135.669998,48.009998
179.850006,138.240005,48.905998
180.029999,139.100006,48.948002
184.190002,139.679993,49.577999
183.279999,139.550003,51.391998
188.889999,141.570007,51.577999
189.550003,140.410004,51.950001
190.389999,139.690002,52.394001
185.850006,137.410004,51.389999
189.759995,138.429993,50.700001
182.339996,136.369995,51.116001
186.149994,137.240005,50.936001
186.380005,139.940002,59.936001
187.889999,140.729996,65.625999
189.399994,144.190002,65.542
189.309998,142.830002,63.243999
188.25,144.610001,63.001999
191.649994,143.369995,62.984001
193.619995,143.720001,62.661999
194.720001,144.550003,63.493999
194.320007,144.460007,63.444
191.550003,144.059998,65.316002
190.419998,144.259995,67.108002
190.839996,145.960007,67.428001
189.610001,146.110001,69.017998
194.470001,147.070007,69.986
193.190002,147.309998,69.222
193.149994,148.059998,69.870003
195.100006,149.970001,70.433998
197.399994,150.339996,69.998001
199.320007,150.389999,71.903999
197.509995,149.619995,70.444
197.929993,149.479996,70.966003
198.820007,149.589996,66.608002
199.789993,151.229996,67.267998
198.970001,152.029999,65.783997
202,152.320007,66.258003
201.639999,151.380005,65.987999
199.699997,149.550003,66.973999
198.820007,149.309998,67.239998
198.710007,149.850006,66.606003
